hour,demand,wind,pv
t01,2706.88,0.1477,0
t02,2575.12,0.1436,0
t03,2494.93,0.144,0
t04,2481.61,0.1454,0
t05,2459.04,0.1496,0.0032
t06,2456.8,0.1647,0.0258
t07,2603.93,0.2,0.0624
t08,2932.89,0.2345,0.1073
t09,3232.59,0.2773,0.1641
t10,3442.66,0.3324,0.1576
t11,3566.94,0.3748,0.1294
t12,3573.9,0.3837,0.1368
t13,3543.83,0.3845,0.1125
t14,3503.94,0.4316,0.0844
t15,3465.88,0.4962,0.0936
t16,3415.77,0.5574,0.1511
t17,3479.71,0.6004,0.1429
t18,3775.92,0.6221,0.0891
t19,3726.63,0.6191,0.0251
t20,3467.72,0.5846,0.0002
t21,3273.92,0.5301,0
t22,3181.54,0.4813,0
t23,3150.26,0.4437,0
t24,2913.49,0.4362,0
t25,2721.48,0.4347,0
t26,2617.44,0.4376,0
t27,2579.29,0.444,0
t28,2625.47,0.4403,0.0019
t29,2588.17,0.4246,0.0464
t30,2552.74,0.4434,0.1557
t31,2650.56,0.5228,0.3098
t32,2837.07,0.5529,0.4918
t33,3135.56,0.5689,0.5953
t34,3331.73,0.5927,0.5921
t35,3442.29,0.623,0.5754
t36,3472.48,0.6476,0.538
t37,3451.93,0.6677,0.5472
t38,3451.11,0.6689,0.4844
t39,3478.56,0.6552,0.3732
t40,3384.88,0.6241,0.2954
t41,3489.08,0.582,0.1895
t42,3739.74,0.5117,0.1036
t43,3656.46,0.446,0.0283
t44,3457.33,0.389,0.0002
t45,3312.05,0.3404,0
t46,3256.45,0.325,0
t47,3162.59,0.3183,0
t48,2850.85,0.2987,0
